team_id,canonical_team_name,aliases
1,Chennai Super Kings,Chennai Super Kings
2,Deccan Chargers,Deccan Chargers
3,Delhi Capitals,Delhi Capitals|Delhi Daredevils
4,Gujarat Lions,Gujarat Lions
5,Gujarat Titans,Gujarat Titans
6,Kochi Tuskers Kerala,Kochi Tuskers Kerala
7,Kolkata Knight Riders,Kolkata Knight Riders
8,Lucknow Super Giants,Lucknow Super Giants
9,Mumbai Indians,Mumbai Indians
10,Pune Warriors,Pune Warriors
11,Punjab Kings,Punjab Kings|Kings XI Punjab
12,Rajasthan Royals,Rajasthan Royals
13,Rising Pune Supergiant,Rising Pune Supergiant|Rising Pune Supergiants
14,Royal Challengers Bengaluru,Royal Challengers Bangalore|Royal Challengers Bengaluru
15,Sunrisers Hyderabad,Sunrisers Hyderabad
